,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO
0,2024-01-01,ABONO INTERESES AHORROS,8.63,6452567.86
1,2024-01-01,TRANSFERENCIA CTA SUC VIRTUAL,-39450.0,6413117.86
2,2024-01-01,TRANSFERENCIA CTA SUC VIRTUAL,-110362.0,6302755.86
3,2024-01-02,ABONO INTERESES AHORROS,8.58,6302764.44
4,2024-01-02,COMPRA INTL  PAYPAL  DISNEYPLU,-32410.98,6270353.46
5,2024-01-03,PAGO AUTOM TC MASTER PESOS,-33390.0,6236963.46
6,2024-01-07,ABONO INTERESES AHORROS,42.7,6237006.16
7,2024-01-08,PAGO PSE COMUNICACION CELULAR,-130508.0,6106498.16
8,2024-01-14,ABONO INTERESES AHORROS,58.52,6106556.68
9,2024-01-15,PAGO DE NOMI UNIV DE IBAGUE,2340775.0,8447331.68
10,2024-01-16,ABONO INTERESES AHORROS,23.14,8447354.82
11,2024-01-17,COMPRA EN  SUPERMERCA,-100647.0,8203149.94
12,2024-01-17,ABONO INTERESES AHORROS,11.12,8447365.94
13,2024-01-17,COMPRA EN  SUPERMERCA,-9220.0,8193929.94
14,2024-01-17,COMPRA EN  ANDRES PAR,-72000.0,8121929.94
15,2024-01-17,COMPRA EN  RICOTTA TR,-143569.0,8303796.94
16,2024-01-18,ABONO INTERESES AHORROS,9.02,8121938.96
17,2024-01-18,COMPRA EN  METRO IBAG,-348000.0,7773938.96
18,2024-01-18,RETIRO CAJERO  UNIVERSIDAD IBA,-1000000.0,6773938.96
19,2024-01-18,TRANSFERENCIA CTA SUC VIRTUAL,-183000.0,6590938.96
20,2024-01-19,ABONO INTERESES AHORROS,8.27,6590947.23
21,2024-01-19,RETIRO CAJERO  PLAZA DEL BOSQU,-200000.0,6390947.23
22,2024-01-19,COMPRA INTL  IEEE PRODUCTS AND,-348286.27,6042660.96
23,2024-01-20,ABONO INTERESES AHORROS,7.72,6042668.68
24,2024-01-20,COMPRA EN  SUPERMERCA,-167134.0,5875534.68
25,2024-01-20,COMPRA EN  JUAN VALDE,-32100.0,5843434.68
26,2024-01-20,COMPRA EN  LIDA EUGEN,-76600.0,5766834.68
27,2024-01-20,COMPRA EN  SUPER SELE,-25200.0,5741634.68
28,2024-01-20,TRANSFERENCIA CTA SUC VIRTUAL,-100900.0,5640734.68
29,2024-01-21,ABONO INTERESES AHORROS,7.08,5640741.76
30,2024-01-21,COMPRA EN  METRO IBAG,-48960.0,5591781.76
31,2024-01-21,COMPRA EN  BOLD*El Ca,-126900.0,5464881.76
32,2024-01-21,COMPRA EN  SUPERMERCA,-89900.0,5374981.76
33,2024-01-21,RETIRO CAJERO  PLAZA DEL BOSQU,-200000.0,5174981.76
34,2024-01-22,PAGO IBAL S.A. ESP,-16600.0,5158381.76
35,2024-01-22,PAGO APP ALCANOS DE COLOMBIA,-11370.0,5147011.76
36,2024-01-26,ABONO INTERESES AHORROS,35.25,5147047.01
37,2024-01-27,ABONO INTERESES AHORROS,6.7,5147053.71
38,2024-01-27,COMPRA EN  SUPERMERCA,-43383.0,5103670.71
39,2024-01-27,COMPRA INTL  PAYPAL  WSEQUERAT,-206913.02,4896757.69
