,DESCRIPCION,GASTO,VECES
0,ACH CREDIT ALEXANDRA LA CRUZ PUENTE PAYPAL IAT ALEXANDRA LA CRUZ PUENTE,1100.0,2
1,CREDIT MEMO FEE REIMBURSEMENT,1.65,1
2,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,-0.65,1
3,FED TAX WITHHELD,-0.52,11
4,INTEREST CREDIT,2.1,11
5,POS PURCHASE MERCHANT PURCHASE TERMINAL 85106805 ROYAL FILMS IBAGUE IBAGUE 5311279800001904 04-16-25 12:00 AM,-21.52,1
6,SERVICE CHARGE INCOMING WIRE FEE,-48.0,4
7,WIRE IN-DOM 53d25e52-9e54-403c -9e11-a985545e6fc8 UNIVERSITAT INTERN /ROC/1600696010ATQ B88///ROC/16006960,274.36,1
8,WIRE IN-DOM c0a895e7-3467-483c -992b-502d4091bc27 ERIKA SEVEREYN VAR SAV PROJECT,211.5,1
9,WIRE IN-DOM c0c79fa8-6f5a-4ef9 -bb3c-fb417830bca2 ERIKA SEVEREYN VAR PAGO SAV FASE 1 RE PORTE 2,910.0,1
10,ZELLE DEBIT ZELLE YANITZA BLA NCO AMERANT 92522 220 ALHAMBRA CIRCL,-50.0,1
