,FECHA,DESCRIPCION,SALDO,CREDIT/DEBIT,MONEDA
0,2025-01-16,SERVICE CHARGE INCOMING WIRE FEE,21632.160000000003,-12.0,USD
1,2025-01-31,FED TAX WITHHELD,21632.120000000003,-0.04,USD
2,2025-01-31,INTEREST CREDIT,21632.300000000003,0.18,USD
3,2025-02-12,CREDIT MEMO FEE REIMBURSEMENT,21633.950000000004,1.65,USD
4,2025-02-28,FED TAX WITHHELD,21633.910000000003,-0.04,USD
5,2025-02-28,INTEREST CREDIT,21634.08,0.17,USD
6,2025-03-12,WIRE IN-DOM c0a895e7-3467-483c -992b-502d4091bc27 ERIKA SEVEREYN VAR SAV PROJECT,21845.58,211.5,USD
7,2025-03-12,SERVICE CHARGE INCOMING WIRE FEE,21833.58,-12.0,USD
8,2025-03-31,FED TAX WITHHELD,21833.54,-0.04,USD
9,2025-03-31,INTEREST CREDIT,21833.72,0.18,USD
10,2025-04-10,WIRE IN-DOM c0c79fa8-6f5a-4ef9 -bb3c-fb417830bca2 ERIKA SEVEREYN VAR PAGO SAV FASE 1 RE PORTE 2,22743.72,910.0,USD
11,2025-04-10,SERVICE CHARGE INCOMING WIRE FEE,22731.72,-12.0,USD
12,2025-04-17,POS PURCHASE MERCHANT PURCHASE TERMINAL 85106805 ROYAL FILMS IBAGUE IBAGUE 5311279800001904 04-16-25 12:00 AM,22710.2,-21.52,USD
13,2025-04-17,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22709.55,-0.65,USD
14,2025-04-30,FED TAX WITHHELD,22709.5,-0.05,USD
15,2025-04-30,INTEREST CREDIT,22709.69,0.19,USD
16,2025-05-31,FED TAX WITHHELD,22709.64,-0.05,USD
17,2025-05-31,INTEREST CREDIT,22709.829999999998,0.19,USD
18,2025-06-30,INTEREST CREDIT,22709.969999999998,0.19,USD
19,2025-06-30,FED TAX WITHHELD,22709.78,-0.05,USD
20,2025-07-01,ACH CREDIT ALEXANDRA LA CRUZ PUENTE PAYPAL IAT ALEXANDRA LA CRUZ PUENTE,23209.969999999998,500.0,USD
21,2025-07-11,WIRE IN-DOM 53d25e52-9e54-403c -9e11-a985545e6fc8 UNIVERSITAT INTERN /ROC/1600696010ATQ B88///ROC/16006960,23484.329999999998,274.36,USD
22,2025-07-11,SERVICE CHARGE INCOMING WIRE FEE,23472.329999999998,-12.0,USD
23,2025-07-16,ZELLE DEBIT ZELLE YANITZA BLA NCO AMERANT 92522 220 ALHAMBRA CIRCL,23422.329999999998,-50.0,USD
24,2025-07-31,FED TAX WITHHELD,23422.28,-0.05,USD
25,2025-07-31,INTEREST CREDIT,23422.469999999998,0.19,USD
26,2025-08-08,ACH CREDIT ALEXANDRA LA CRUZ PUENTE PAYPAL IAT ALEXANDRA LA CRUZ PUENTE,24022.469999999998,600.0,USD
27,2025-08-31,FED TAX WITHHELD,24022.42,-0.05,USD
28,2025-08-31,INTEREST CREDIT,24022.629999999997,0.21,USD
29,2025-09-30,FED TAX WITHHELD,24022.579999999998,-0.05,USD
30,2025-09-30,INTEREST CREDIT,24022.78,0.2,USD
31,2025-10-31,FED TAX WITHHELD,24022.73,-0.05,USD
32,2025-10-31,INTEREST CREDIT,24022.93,0.2,USD
33,2025-11-30,FED TAX WITHHELD,24022.88,-0.05,USD
34,2025-11-30,INTEREST CREDIT,24023.08,0.2,USD
