,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MES,CATEGORIA
75,2025-01-01,TRANSFERENCIA A NEQUI,-136850.0,0.0,2025-01,transferencia
71,2025-01-02,PAGO AUTOM TC MASTER PESOS,-35200.0,0.0,2025-01,pago_tc
74,2025-01-02,COMPRA INTL  PAYPAL  DISNEYPLU,-55423.01,0.0,2025-01,otros
73,2025-01-02,ABONO INTERESES AHORROS,34.88,0.0,2025-01,otros
72,2025-01-02,COMPRA EN  IGSA HL S,-92324.0,0.0,2025-01,entretenimiento
70,2025-01-04,PAGO PSE COMUNICACION CELULAR,-31500.0,0.0,2025-01,servicios
69,2025-01-04,COMPRA EN  BOLD*Oroju,-210000.0,0.0,2025-01,entretenimiento
68,2025-01-04,COMPRA EN  BOLD*BUNNY,-210000.0,0.0,2025-01,entretenimiento
67,2025-01-04,ABONO INTERESES AHORROS,69.26,0.0,2025-01,otros
66,2025-01-04,TRANSFERENCIA A NEQUI,-35000.0,0.0,2025-01,transferencia
65,2025-01-04,TRANSFERENCIA A NEQUI,-7600.0,0.0,2025-01,transferencia
64,2025-01-04,COMPRA EN  BOLD*Ances,-74800.0,0.0,2025-01,entretenimiento
63,2025-01-05,TRANSFERENCIA A NEQUI,-19500.0,0.0,2025-01,transferencia
62,2025-01-05,COMPRA EN  PIPE PARRI,-49700.0,0.0,2025-01,entretenimiento
61,2025-01-05,COMPRA EN  BOLD*Velve,-29000.0,0.0,2025-01,entretenimiento
60,2025-01-05,RETIRO CAJERO  UNICENTRO TUNJA,-300000.0,0.0,2025-01,retiro
59,2025-01-05,ABONO INTERESES AHORROS,33.85,0.0,2025-01,otros
58,2025-01-06,COMPRA EN  TENAMPA PA,-46700.0,0.0,2025-01,entretenimiento
57,2025-01-06,ABONO INTERESES AHORROS,33.3,0.0,2025-01,otros
56,2025-01-07,RETIRO CAJERO  PLAZA DEL BOSQU,-1000000.0,0.0,2025-01,retiro
55,2025-01-07,ABONO INTERESES AHORROS,33.24,0.0,2025-01,otros
54,2025-01-08,TRANSFERENCIA CTA SUC VIRTUAL,-100000.0,0.0,2025-01,transferencia
53,2025-01-08,COMPRA EN  SUPERMERCA,-15000.0,0.0,2025-01,supermercado
52,2025-01-08,ABONO INTERESES AHORROS,31.87,0.0,2025-01,otros
51,2025-01-08,COMPRA EN  TOSTAO CAF,-16500.0,0.0,2025-01,otros
50,2025-01-09,ABONO INTERESES AHORROS,31.69,0.0,2025-01,otros
49,2025-01-09,COMPRA EN  TIENDA D1,-56170.0,0.0,2025-01,supermercado
48,2025-01-09,COMPRA EN  SUPERMERCA,-11900.0,0.0,2025-01,supermercado
44,2025-01-10,ABONO INTERESES AHORROS,31.59,0.0,2025-01,otros
46,2025-01-10,COMPRA EN  JHON PEZ F,-109510.0,0.0,2025-01,supermercado
47,2025-01-10,RETIRO CAJERO  UNIVERSIDAD IBA,-300000.0,0.0,2025-01,retiro
45,2025-01-10,COMPRA EN  FUENTE DE,-35200.0,0.0,2025-01,entretenimiento
43,2025-01-11,ABONO INTERESES AHORROS,30.99,0.0,2025-01,otros
42,2025-01-11,COMPRA EN  EXITO WOW,-120292.0,0.0,2025-01,supermercado
41,2025-01-12,PAGO PSE COMUNICACION CELULAR,-31500.0,0.0,2025-01,servicios
40,2025-01-12,COMPRA EN  SUPERMERCA,-19592.0,0.0,2025-01,supermercado
39,2025-01-12,ABONO INTERESES AHORROS,30.82,0.0,2025-01,otros
38,2025-01-13,ABONO INTERESES AHORROS,30.75,0.0,2025-01,otros
37,2025-01-13,COMPRA EN  SUPERMERCA,-38820.0,0.0,2025-01,supermercado
35,2025-01-14,ABONO INTERESES AHORROS,30.7,0.0,2025-01,otros
36,2025-01-14,PAGO DE NOMI UNIV DE IBAGUE,1819738.0,0.0,2025-01,otros
33,2025-01-15,ABONO INTERESES AHORROS,33.19,0.0,2025-01,otros
34,2025-01-15,RETIRO CAJERO  MF PLAZAS DEL B,-500000.0,0.0,2025-01,retiro
32,2025-01-17,ABONO INTERESES AHORROS,65.02,0.0,2025-01,otros
31,2025-01-17,COMPRA EN  SUPERMERCA,-38140.0,0.0,2025-01,supermercado
30,2025-01-18,COMPRA EN  TIENDA D1,-41900.0,0.0,2025-01,supermercado
29,2025-01-18,COMPRA EN  FUENTE DE,-26400.0,0.0,2025-01,entretenimiento
28,2025-01-18,ABONO INTERESES AHORROS,32.45,0.0,2025-01,otros
27,2025-01-18,COMPRA EN  SUPERMERCA,-84330.0,0.0,2025-01,supermercado
24,2025-01-19,COMPRA EN  SURTIPLAZA,-94425.0,0.0,2025-01,supermercado
25,2025-01-19,PAGO PSE COMUNICACION CELULAR,-130508.0,0.0,2025-01,servicios
26,2025-01-19,ABONO INTERESES AHORROS,32.24,0.0,2025-01,otros
23,2025-01-20,ABONO INTERESES AHORROS,31.94,0.0,2025-01,otros
22,2025-01-20,COMPRA EN  SUPERMERCA,-30588.0,0.0,2025-01,supermercado
21,2025-01-21,COMPRA EN  BOLD*SUAN,-75500.0,0.0,2025-01,entretenimiento
20,2025-01-21,ABONO INTERESES AHORROS,31.89,0.0,2025-01,otros
19,2025-01-21,COMPRA EN  DROGUERIA,-112000.0,0.0,2025-01,medicamentos
18,2025-01-21,COMPRA EN  DROG MEDIC,-34500.0,0.0,2025-01,medicamentos
17,2025-01-24,ABONO INTERESES AHORROS,94.77,0.0,2025-01,otros
16,2025-01-24,COMPRA EN  DROGUERIA,-108100.0,0.0,2025-01,medicamentos
15,2025-01-25,ABONO INTERESES AHORROS,31.44,0.0,2025-01,otros
14,2025-01-25,COMPRA EN  SUPERMERCA,-92107.0,0.0,2025-01,supermercado
13,2025-01-26,COMPRA EN  SUPERMERCA,-117483.0,0.0,2025-01,supermercado
12,2025-01-26,ABONO INTERESES AHORROS,31.32,0.0,2025-01,otros
8,2025-01-27,PAGO SUC VIRT TC MASTER PESOS,-54100.0,0.0,2025-01,pago_tc
7,2025-01-27,PAGO APP ALCANOS DE COLOMBIA,-35860.0,0.0,2025-01,servicios
10,2025-01-27,ABONO INTERESES AHORROS,31.15,0.0,2025-01,otros
11,2025-01-27,PAGO IBAL S.A. ESP,-36700.0,0.0,2025-01,servicios
9,2025-01-27,COMPRA EN  DROGUERIA,-83000.0,0.0,2025-01,medicamentos
6,2025-01-29,PAGO SUC VIRT TC MASTER PESOS,-18900.0,0.0,2025-01,pago_tc
5,2025-01-29,ABONO INTERESES AHORROS,61.74,0.0,2025-01,otros
4,2025-01-29,COMPRA EN  SUPERMERCA,-138334.0,0.0,2025-01,supermercado
3,2025-01-29,PAGO PSE MOVII SA,-200000.0,0.0,2025-01,otros
2,2025-01-30,RETIRO CAJERO,-1000000.0,0.0,2025-01,retiro
1,2025-01-30,PAGO DE NOMI UNIV DE IBAGUE,4796629.0,0.0,2025-01,otros
0,2025-01-30,COMPRA EN SUPERMERCADO POPULAR,-50790.0,0.0,2025-01,supermercado
