Transaction Date,Transaction Time,Time Zone,Transaction ID,Description,Credit Amount,Debit Amount,Currency,Transfer Amount,Transfer Amount Currency,Status,Running Balance,Additional Description,Store Name,Source,Target,Reference ID
10/13/2025,09:29:59,UTC,934175309,Card charge (FALABELLA TDA DPTO ACQ),,53.11,USD,,,Completed,638.37,,,USD balance,FALABELLA TDA DPTO ACQ,
10/13/2025,09:29:59,UTC,934175350,Card charge (PATPRIMO 227 IBAGUE MU),,45.12,USD,,,Completed,691.48,,,USD balance,PATPRIMO 227 IBAGUE MU,
10/13/2025,09:29:59,UTC,934175333,Card charge (SURTIPLAZA ACQUA),,30.82,USD,,,Completed,736.60,,,USD balance,SURTIPLAZA ACQUA,
10/13/2025,09:29:59,UTC,934175344,Card charge (ESPRIT),,15.92,USD,,,Completed,767.42,,,USD balance,ESPRIT,
10/12/2025,09:34:39,UTC,933873688,Card charge (BOLD*MIS CARNES PARR),,28.94,USD,,,Completed,783.34,,,USD balance,BOLD*MIS CARNES PARR,
10/12/2025,08:10:12,UTC,933738305,Card charge (RESTAURANTE DONDE CHUC),,44.24,USD,,,Completed,812.28,,,USD balance,RESTAURANTE DONDE CHUC,
10/05/2025,09:09:06,UTC,931600117,Card charge (SUPERMERCADO POPULAR 1),,9.60,USD,,,Completed,856.52,,,USD balance,SUPERMERCADO POPULAR 1,
10/05/2025,09:04:46,UTC,931594887,Card charge (FALABELLA TDA DPTO ACQ),,82.32,USD,,,Completed,866.12,,,USD balance,FALABELLA TDA DPTO ACQ,
10/05/2025,09:04:46,UTC,931595018,Card charge (JOYERIA CAREY),,64.00,USD,,,Completed,948.44,,,USD balance,JOYERIA CAREY,
10/05/2025,09:04:46,UTC,931594997,Card charge (METRO IBAGUE),,28.51,USD,,,Completed,1012.44,,,USD balance,METRO IBAGUE,
10/05/2025,09:04:46,UTC,931594961,Card charge (SURTIPLAZA ACQUA),,17.93,USD,,,Completed,1040.95,,,USD balance,SURTIPLAZA ACQUA,
10/02/2025,09:47:15,UTC,930658959,Card charge (SUPERMERCADO POPULAR 1),,17.53,USD,,,Completed,1058.88,,,USD balance,SUPERMERCADO POPULAR 1,
10/02/2025,02:45:48,UTC,930527371,ATM withdrawal (BANCOLOMBIA),,69.64,USD,,GBP,Completed,1076.41,,,USD balance,BANCOLOMBIA,
