Date,Description,Amount,Currency,Status,Transaction ID  
"13 May, 2026",Payment from Jala University,612.00,USD,Completed,986580015	   
"23 Mar, 2026",Card charge (HOMECENTER),-21.75,USD,Completed,981677236	   
"21 Mar, 2026",Card charge (JUMBO EL VERGEL),-26.29,USD,Completed,981180342	   
"19 Mar, 2026",Card charge (MEDIAS WB),-23.28,USD,Completed,980572063	   
"19 Mar, 2026",Card charge (SUPERTIENDA OLIMPICA 3),-22.44,USD,Completed,980571976	   
"19 Mar, 2026",Card charge (PWSCCO*BBC ACQUA),-21.04,USD,Completed,980572054	   
"19 Mar, 2026",Card charge (DECATHLON ISLA ESTACIO),-18.80,USD,Completed,980572029	   
"16 Mar, 2026",Annual account fee,-29.95,USD,Completed,4366185460237564	   
"16 Mar, 2026",Card charge (JUMBO EL VERGEL),-35.15,USD,Completed,979708418	   
"14 Mar, 2026",Card charge (METRO IBAGUE CALLE 19),-51.06,USD,Completed,979107736	   
"13 Mar, 2026",Card charge (JUMBO EL VERGEL),-11.40,USD,Completed,978850495	   
"10 Mar, 2026",Card charge (ITEP LATAM),91.64,USD,Completed,978201566	   
"10 Mar, 2026",Card charge (FALABELLA TDA DPTO ACQ),-125.57,USD,Completed,977986616	   
"08 Mar, 2026",Card charge (JUMBO EL VERGEL),-34.78,USD,Completed,977405446	   
"07 Mar, 2026",Card charge (ITEP LATAM),-98.96,USD,Completed,977328602	   
"01 Mar, 2026",Card charge (SUPERMERCADO MERCACENT),-65.27,USD,Completed,975312338	   
"01 Mar, 2026",Card charge (JUMBO EL VERGEL),-41.24,USD,Completed,975312381	   
"23 Feb, 2026",Card charge (JUMBO EL VERGEL),-27.75,USD,Completed,973638187	   
"23 Feb, 2026",Card charge (TIENDA TU HOGAR ONLINE),-23.22,USD,Completed,973638231	   
"18 Feb, 2026",Card charge (SUPERMERCADO MERCACENT),-7.85,USD,Completed,972324028	   
"17 Feb, 2026",Card charge (SUPERMERCADO MERCACENT),0.00,USD,Canceled,972203481	   
"16 Feb, 2026",Card charge (HOMECENTER),-103.00,USD,Completed,971754987	   
"16 Feb, 2026",Card charge (HOMECENTER),-83.07,USD,Completed,971755025	   
"01 Feb, 2026",Card charge (TIENDA D1 IBAGUE BARLO),-14.77,USD,Completed,967486877	   
"01 Feb, 2026",Card charge (JUMBO EL VERGEL),-62.58,USD,Completed,967479189	   
"29 Jan, 2026",Card charge (TIENDA D1 IBAGUE AMBAL),-15.03,USD,Completed,966664785	   
"28 Jan, 2026",Card charge (CLINICA DE OJOS DEL TO),0.00,USD,Canceled,966507347	   
"28 Jan, 2026",Card charge (CLINICA DE OJOS DEL TO),0.00,USD,Canceled,966507250	   
"28 Jan, 2026",Card charge (JUMBO EL VERGEL),-15.92,USD,Completed,966374254	   
"27 Jan, 2026",Card charge (SURTIPLAZA ACQUA),-15.02,USD,Completed,966090250	   
"26 Jan, 2026",Card charge (PUMA STORE IBAGUE),-100.06,USD,Completed,965805376	   
"26 Jan, 2026",Card charge (JUMBO EL VERGEL),-34.53,USD,Completed,965798255	   
"26 Jan, 2026",Card charge (DOLLARCITY VERGEL PLAZ),-11.97,USD,Completed,965798312	   
"25 Jan, 2026",Card charge (SURTIPLAZA ACQUA),-60.16,USD,Completed,965613486	   
"25 Jan, 2026",Card charge (JUMBO EL VERGEL),-14.68,USD,Completed,965613536	   
"24 Jan, 2026",Card charge (DECATHLON ISLA ESTACIO),-48.51,USD,Completed,965271289	   
"24 Jan, 2026",Card charge (JUMBO EL VERGEL),-12.26,USD,Completed,965271224	   
"24 Jan, 2026",Card charge (DECATHLON ISLA ESTACIO),-9.03,USD,Completed,965271324	   
"19 Jan, 2026",Card charge (CEREZA CAFE BAR),-17.18,USD,Completed,963835940	   
"18 Jan, 2026",Card charge (IMPACTO Y CALIDAD 6),-39.30,USD,Completed,963496088	   
"16 Jan, 2026",Card charge (SUPERMERCADO POPULAR 1),-12.75,USD,Completed,963055511	   
"16 Jan, 2026",Card charge (CLINICA DE OJOS DEL TO),-141.28,USD,Completed,963049752	   
"12 Jan, 2026",Card charge (SURTIPLAZA ACQUA),-43.06,USD,Completed,961852579	   
"11 Jan, 2026",Card charge (DROGUERIA CRUZ VERDE C),-38.92,USD,Completed,961619032	   
"11 Jan, 2026",Card charge (PANAMERICANA LIBRER Y),-34.31,USD,Completed,961619074	   
"10 Jan, 2026",Card charge (JUMBO EL VERGEL),-18.77,USD,Completed,961365799	   
"07 Jan, 2026",Withdrawal to Amerant Bank (7520),-235.00,USD,Completed,936405758	   
"07 Jan, 2026",Card charge (JUMBO EL VERGEL),-19.88,USD,Completed,960555205	   
"29 Dec, 2025",Card charge (JUMBO EL VERGEL),0.00,USD,Canceled,958084972	   
"29 Dec, 2025",Card charge (JUMBO EL VERGEL),0.00,USD,Canceled,958084953	   
"29 Dec, 2025",Payment from Jala University,588.00,USD,Completed,932422657	   
