,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MONEDA
0,2025-01-01 00:00:00,ABONO INTERESES AHORROS,34.88,25600347.67,COP
1,2025-01-01 00:00:00,TRANSFERENCIA A NEQUI,-136850.0,25463497.67,COP
2,2025-01-02 00:00:00,COMPRA EN  IGSA HL S,-92324.0,25371173.67,COP
3,2025-01-02 00:00:00,COMPRA INTL  PAYPAL  DISNEYPLU,-55423.01,25315750.66,COP
4,2025-01-02 00:00:00,PAGO AUTOM TC MASTER PESOS,-35200.0,25280550.66,COP
5,2025-01-03 00:00:00,ABONO INTERESES AHORROS,69.26,25280619.92,COP
6,2025-01-04 00:00:00,ABONO INTERESES AHORROS,33.85,25280653.77,COP
7,2025-01-04 00:00:00,TRANSFERENCIA A NEQUI,-7600.0,25273053.77,COP
8,2025-01-04 00:00:00,TRANSFERENCIA A NEQUI,-35000.0,25238053.77,COP
9,2025-01-04 00:00:00,COMPRA EN  BOLD*Ances,-74800.0,25163253.77,COP
10,2025-01-04 00:00:00,COMPRA EN  BOLD*BUNNY,-210000.0,24953253.77,COP
11,2025-01-04 00:00:00,COMPRA EN  BOLD*Oroju,-210000.0,24743253.77,COP
12,2025-01-04 00:00:00,PAGO PSE COMUNICACION CELULAR,-31500.0,24711753.77,COP
13,2025-01-05 00:00:00,COMPRA EN  BOLD*Velve,-29000.0,24663287.07,COP
14,2025-01-05 00:00:00,TRANSFERENCIA A NEQUI,-19500.0,24692287.07,COP
15,2025-01-05 00:00:00,RETIRO CAJERO  UNICENTRO TUNJA,-300000.0,24313587.07,COP
16,2025-01-05 00:00:00,COMPRA EN  PIPE PARRI,-49700.0,24613587.07,COP
17,2025-01-05 00:00:00,ABONO INTERESES AHORROS,33.3,24711787.07,COP
18,2025-01-06 00:00:00,ABONO INTERESES AHORROS,33.24,24313620.31,COP
19,2025-01-06 00:00:00,COMPRA EN  TENAMPA PA,-46700.0,24266920.31,COP
20,2025-01-07 00:00:00,ABONO INTERESES AHORROS,31.87,24266952.18,COP
21,2025-01-07 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-1000000.0,23266952.18,COP
22,2025-01-08 00:00:00,COMPRA EN  TOSTAO CAF,-16500.0,23235483.87,COP
23,2025-01-08 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-100000.0,23135483.87,COP
24,2025-01-08 00:00:00,ABONO INTERESES AHORROS,31.69,23266983.87,COP
25,2025-01-08 00:00:00,COMPRA EN  SUPERMERCA,-15000.0,23251983.87,COP
26,2025-01-09 00:00:00,COMPRA EN  TIENDA D1,-56170.0,23067445.46,COP
27,2025-01-09 00:00:00,ABONO INTERESES AHORROS,31.59,23135515.46,COP
28,2025-01-09 00:00:00,COMPRA EN  SUPERMERCA,-11900.0,23123615.46,COP
29,2025-01-10 00:00:00,ABONO INTERESES AHORROS,30.99,23067476.45,COP
30,2025-01-10 00:00:00,COMPRA EN  JHON PEZ F,-109510.0,22957966.45,COP
31,2025-01-10 00:00:00,COMPRA EN  FUENTE DE,-35200.0,22922766.45,COP
32,2025-01-10 00:00:00,RETIRO CAJERO  UNIVERSIDAD IBA,-300000.0,22622766.45,COP
33,2025-01-11 00:00:00,ABONO INTERESES AHORROS,30.82,22622797.27,COP
34,2025-01-11 00:00:00,COMPRA EN  EXITO WOW,-120292.0,22502505.27,COP
35,2025-01-12 00:00:00,ABONO INTERESES AHORROS,30.75,22502536.02,COP
36,2025-01-12 00:00:00,COMPRA EN  SUPERMERCA,-19592.0,22482944.02,COP
37,2025-01-12 00:00:00,PAGO PSE COMUNICACION CELULAR,-31500.0,22451444.02,COP
38,2025-01-13 00:00:00,ABONO INTERESES AHORROS,30.7,22451474.72,COP
39,2025-01-13 00:00:00,COMPRA EN  SUPERMERCA,-38820.0,22412654.72,COP
40,2025-01-14 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,1819738.0,24232392.72,COP
41,2025-01-14 00:00:00,ABONO INTERESES AHORROS,33.19,24232425.91,COP
42,2025-01-15 00:00:00,RETIRO CAJERO  MF PLAZAS DEL B,-500000.0,23732425.91,COP
43,2025-01-16 00:00:00,ABONO INTERESES AHORROS,65.02,23732490.93,COP
44,2025-01-17 00:00:00,ABONO INTERESES AHORROS,32.45,23732523.38,COP
45,2025-01-17 00:00:00,COMPRA EN  SUPERMERCA,-38140.0,23694383.38,COP
46,2025-01-18 00:00:00,ABONO INTERESES AHORROS,32.24,23694415.62,COP
47,2025-01-18 00:00:00,COMPRA EN  SUPERMERCA,-84330.0,23610085.62,COP
48,2025-01-18 00:00:00,COMPRA EN  TIENDA D1,-41900.0,23568185.62,COP
49,2025-01-18 00:00:00,COMPRA EN  FUENTE DE,-26400.0,23541785.62,COP
50,2025-01-19 00:00:00,ABONO INTERESES AHORROS,31.94,23541817.56,COP
51,2025-01-19 00:00:00,COMPRA EN  SURTIPLAZA,-94425.0,23447392.56,COP
52,2025-01-19 00:00:00,PAGO PSE COMUNICACION CELULAR,-130508.0,23316884.56,COP
53,2025-01-20 00:00:00,ABONO INTERESES AHORROS,31.89,23316916.45,COP
54,2025-01-20 00:00:00,COMPRA EN  SUPERMERCA,-30588.0,23286328.45,COP
55,2025-01-21 00:00:00,COMPRA EN  DROG MEDIC,-34500.0,23251828.45,COP
56,2025-01-21 00:00:00,COMPRA EN  BOLD*SUAN,-75500.0,23176328.45,COP
57,2025-01-21 00:00:00,COMPRA EN  DROGUERIA,-112000.0,23064328.45,COP
58,2025-01-23 00:00:00,ABONO INTERESES AHORROS,94.77,23064423.22,COP
59,2025-01-24 00:00:00,ABONO INTERESES AHORROS,31.44,23064454.66,COP
60,2025-01-24 00:00:00,COMPRA EN  DROGUERIA,-108100.0,22956354.66,COP
61,2025-01-25 00:00:00,ABONO INTERESES AHORROS,31.32,22956385.98,COP
62,2025-01-25 00:00:00,COMPRA EN  SUPERMERCA,-92107.0,22864278.98,COP
63,2025-01-26 00:00:00,ABONO INTERESES AHORROS,31.15,22864310.13,COP
64,2025-01-26 00:00:00,COMPRA EN  SUPERMERCA,-117483.0,22746827.13,COP
65,2025-01-27 00:00:00,PAGO IBAL S.A. ESP,-36700.0,22710127.13,COP
66,2025-01-27 00:00:00,PAGO SUC VIRT TC MASTER PESOS,-54100.0,22656027.13,COP
67,2025-01-27 00:00:00,COMPRA EN  DROGUERIA,-83000.0,22573027.13,COP
68,2025-01-27 00:00:00,PAGO APP ALCANOS DE COLOMBIA,-35860.0,22537167.13,COP
69,2025-01-28 00:00:00,ABONO INTERESES AHORROS,61.74,22537228.87,COP
70,2025-01-29 00:00:00,ABONO INTERESES AHORROS,30.38,22537259.25,COP
71,2025-01-29 00:00:00,PAGO SUC VIRT TC MASTER PESOS,-18900.0,22518359.25,COP
72,2025-01-29 00:00:00,COMPRA EN  SUPERMERCA,-138334.0,22380025.25,COP
73,2025-01-29 00:00:00,PAGO PSE MOVII SA,-200000.0,22180025.25,COP
74,2025-01-30 00:00:00,PAGO DE NOMI UNIV DE IBAGUE,4796629.0,26976654.25,COP
75,2025-01-30 00:00:00,ABONO INTERESES AHORROS,35.51,26976689.76,COP
76,2025-01-30 00:00:00,COMPRA EN  SUPERMERCA,-50790.0,26925899.76,COP
77,2025-01-30 00:00:00,RETIRO CAJERO  PLAZA DEL BOSQU,-1000000.0,25925899.76,COP
78,2025-01-31 00:00:00,TRASLADO VIRTUAL OTROS BANCOS,-217799.0,25708135.67,COP
79,2025-01-31 00:00:00,ABONO INTERESES AHORROS,34.91,25925934.67,COP
80,2025-01-31 00:00:00,TRANSFERENCIA CTA SUC VIRTUAL,-217700.0,25490435.67,COP
81,2025-01-31 00:00:00,AJUSTE INTERES AHORROS DB,-0.01,25490435.66,COP
82,2025-01-31 00:00:00,IVA COMIS TRASLADO OTROS BCOS,-1387.0,25481748.66,COP
83,2025-01-31 00:00:00,COMISION TRASLADO OTROS BANCOS,-7300.0,25483135.66,COP
84,2025-02-01 00:00:00,COMPRA EN  SUPERMERCA,-180639.0,25234044.17,COP
