,MES,saldo_inicio,saldo_final,gasto_mes,ingreso_mes,balance_mes
0,2024-01,6452567.86,8121466.98,-5152613.27,6821521.0200000005,1668907.750000001
1,2024-02,8121473.99,4739958.16,-11672779.89,8291271.07,-3381508.8200000003
2,2024-03,4699013.09,3435809.94,-9183778.42,7879630.200000001,-1304148.2199999988
3,2024-04,3435814.61,5798729.83,-5517267.7299999995,7878821.5200000005,2361553.790000001
4,2024-05,5797371.18,6531503.36,-7423347.29,7878886.92,455539.6299999999
5,2024-06,6252911.57,5536535.14,-12188609.879999999,11472241.66,-716368.2199999988
6,2024-07,5536542.57,6969119.46,-6059050.449999999,7255434.77,1196384.3200000003
7,2024-08,5732927.31,5126892.08,-10159101.96,8553074.579999998,-1606027.3800000027
8,2024-09,5060585.98,8217886.59,-6508895.01,9599889.52,3090994.51
9,2024-10,7717886.59,10325080.950000001,-6448053.539999999,8555247.9,2107194.3600000013
10,2024-11,10225080.950000001,12315430.580000002,-6984983.699999999,8975333.330000002,1990349.6300000027
11,2024-12,12237030.580000002,25600312.790000003,-14478567.34,27763449.549999997,13284882.209999997
